Game Length,Player Movement,Die Rolls,Snakes and Ladders
29,"[0, 3, 6, 11, 13, 7, 10, 11, 12, 14, 19, 24, 26, 30, 31, 32, 37, 38, 42, 45, 67, 70, 76, 78, 79, 82, 88, 90, 94, 100]","[3, 3, 5, 2, 4, 3, 1, 1, 2, 5, 5, 2, 4, 1, 1, 5, 1, 4, 3, 6, 3, 6, 2, 1, 3, 6, 2, 4, 6]",S-17 L-51 
47,"[0, 38, 40, 46, 50, 34, 38, 39, 44, 47, 52, 55, 60, 63, 60, 61, 67, 72, 75, 81, 84, 89, 94, 97, 2, 8, 14, 18, 24, 30, 33, 36, 42, 48, 52, 34, 39, 43, 45, 48, 34, 38, 43, 48, 67, 70, 74, 100]","[1, 2, 6, 4, 4, 4, 1, 5, 3, 5, 3, 5, 3, 1, 1, 6, 5, 3, 6, 3, 5, 5, 3, 5, 6, 6, 4, 6, 6, 3, 3, 6, 6, 4, 2, 5, 4, 2, 3, 6, 4, 5, 5, 3, 3, 4, 6]",L-1 S-54 S-64 S-54 S-54 L-51 L-80 
68,"[0, 6, 7, 31, 32, 37, 38, 43, 45, 47, 53, 34, 39, 42, 46, 47, 67, 73, 79, 83, 88, 73, 79, 85, 89, 73, 77, 83, 24, 26, 30, 34, 39, 45, 47, 67, 73, 75, 76, 78, 79, 83, 86, 90, 73, 79, 84, 89, 92, 97, 38, 43, 46, 50, 34, 40, 41, 45, 48, 53, 55, 59, 60, 63, 60, 66, 69, 74, 100]","[6, 1, 2, 1, 5, 1, 5, 2, 2, 6, 1, 5, 3, 4, 1, 4, 6, 6, 4, 5, 5, 6, 6, 4, 4, 4, 6, 4, 2, 4, 4, 5, 6, 2, 4, 6, 2, 1, 2, 1, 4, 3, 4, 3, 6, 5, 5, 3, 5, 4, 5, 3, 4, 4, 6, 1, 4, 3, 5, 2, 4, 1, 3, 1, 6, 3, 5, 6]",L-9 S-54 L-51 S-93 S-93 S-87 L-51 S-93 L-1 S-54 S-64 L-80 
82,"[0, 6, 31, 33, 37, 41, 46, 47, 67, 68, 72, 77, 82, 83, 24, 84, 24, 26, 29, 31, 32, 36, 41, 42, 44, 46, 67, 68, 74, 78, 82, 88, 73, 78, 81, 86, 92, 75, 78, 84, 24, 26, 31, 33, 34, 40, 45, 49, 50, 56, 60, 61, 67, 72, 78, 84, 89, 90, 91, 96, 38, 43, 49, 53, 55, 56, 61, 60, 63, 60, 19, 22, 26, 32, 36, 37, 40, 41, 47, 67, 69, 75, 100]","[6, 3, 2, 4, 4, 5, 1, 4, 1, 4, 5, 5, 1, 4, 4, 3, 2, 3, 2, 1, 4, 5, 1, 2, 2, 5, 1, 6, 4, 4, 6, 5, 5, 3, 5, 6, 3, 3, 6, 3, 2, 5, 2, 1, 6, 5, 4, 1, 6, 4, 1, 6, 5, 6, 6, 5, 1, 1, 5, 5, 5, 6, 4, 2, 1, 5, 3, 3, 1, 2, 3, 4, 6, 4, 1, 3, 1, 6, 4, 2, 6, 5]",L-9 L-51 S-87 L-28 S-87 L-51 S-93 S-95 S-87 L-1 S-64 S-64 S-62 L-51 L-80 
90,"[0, 5, 10, 13, 16, 22, 84, 89, 75, 79, 82, 24, 84, 88, 90, 75, 78, 79, 84, 85, 88, 89, 92, 96, 2, 8, 10, 13, 16, 7, 8, 10, 15, 7, 11, 16, 42, 43, 46, 47, 52, 53, 56, 61, 66, 69, 72, 75, 81, 84, 86, 24, 30, 31, 36, 42, 45, 50, 55, 57, 19, 24, 29, 31, 32, 33, 35, 38, 44, 48, 50, 53, 55, 58, 59, 60, 61, 19, 25, 84, 90, 94, 97, 38, 43, 47, 67, 91, 97, 99, 100]","[5, 5, 3, 3, 6, 6, 5, 6, 4, 3, 5, 4, 4, 2, 5, 3, 1, 5, 1, 3, 1, 3, 4, 6, 6, 2, 3, 3, 1, 1, 2, 5, 2, 4, 5, 5, 1, 3, 1, 5, 1, 3, 5, 5, 3, 3, 3, 6, 3, 2, 1, 6, 1, 5, 6, 3, 5, 5, 2, 5, 5, 5, 2, 1, 1, 2, 3, 6, 4, 2, 3, 2, 3, 1, 1, 1, 1, 6, 3, 6, 4, 3, 4, 5, 4, 4, 4, 6, 2, 1]",L-28 S-95 S-87 L-28 S-95 S-17 S-17 L-21 S-87 S-62 S-62 L-28 L-1 L-51 L-71 
91,"[0, 5, 11, 13, 16, 20, 42, 48, 49, 55, 59, 60, 63, 60, 19, 22, 25, 84, 89, 92, 97, 38, 44, 49, 34, 37, 41, 47, 50, 67, 91, 75, 78, 83, 88, 94, 97, 38, 42, 45, 47, 49, 53, 55, 61, 19, 22, 27, 33, 35, 37, 39, 40, 41, 45, 50, 34, 38, 42, 48, 49, 52, 58, 59, 19, 25, 30, 35, 41, 43, 48, 34, 39, 41, 43, 44, 49, 50, 52, 55, 59, 65, 69, 91, 73, 79, 83, 84, 86, 89, 94, 100]","[5, 6, 2, 3, 4, 1, 6, 1, 6, 4, 5, 3, 1, 2, 3, 3, 3, 5, 3, 5, 4, 6, 5, 5, 3, 4, 6, 3, 1, 4, 4, 3, 5, 5, 6, 3, 4, 4, 3, 2, 2, 4, 2, 6, 1, 3, 5, 6, 2, 2, 2, 1, 1, 4, 5, 4, 4, 4, 6, 1, 3, 6, 1, 3, 6, 5, 5, 6, 2, 5, 6, 5, 2, 2, 1, 5, 1, 2, 3, 4, 6, 4, 2, 2, 6, 4, 1, 2, 3, 5, 6]",L-21 S-64 S-64 S-62 L-28 L-1 S-54 L-51 L-71 S-95 L-1 S-62 S-54 S-62 S-54 L-71 S-93 
33,"[0, 2, 6, 11, 16, 22, 25, 26, 32, 35, 39, 42, 46, 52, 56, 19, 22, 27, 32, 34, 38, 39, 45, 48, 53, 59, 63, 67, 73, 75, 77, 78, 79, 100]","[2, 4, 5, 5, 6, 3, 1, 6, 3, 4, 3, 4, 6, 4, 6, 3, 5, 5, 2, 4, 1, 6, 3, 5, 6, 4, 4, 6, 2, 2, 1, 1, 1]",S-62 L-80 
74,"[0, 5, 6, 11, 13, 19, 22, 25, 26, 29, 31, 35, 39, 45, 67, 68, 91, 97, 99, 3, 14, 20, 25, 31, 33, 38, 39, 43, 46, 47, 50, 34, 40, 44, 47, 52, 56, 19, 25, 31, 36, 42, 46, 67, 68, 74, 76, 77, 82, 83, 85, 24, 30, 34, 38, 41, 45, 49, 34, 36, 38, 44, 47, 50, 53, 56, 57, 58, 19, 22, 84, 89, 92, 96, 100]","[5, 1, 5, 2, 6, 3, 3, 1, 3, 2, 4, 4, 6, 6, 1, 3, 6, 2, 4, 1, 6, 5, 6, 2, 5, 1, 4, 3, 1, 3, 4, 6, 4, 3, 5, 4, 6, 6, 6, 5, 6, 4, 5, 1, 6, 2, 1, 5, 1, 2, 2, 6, 4, 4, 3, 4, 4, 5, 2, 2, 6, 3, 3, 3, 3, 1, 1, 4, 3, 6, 5, 3, 4, 4]",L-51 L-71 L-4 S-54 S-62 L-51 S-87 S-54 S-62 L-28 
97,"[0, 6, 7, 11, 12, 15, 16, 22, 24, 25, 30, 33, 38, 42, 43, 46, 48, 52, 57, 61, 65, 70, 74, 79, 84, 24, 25, 31, 36, 42, 47, 67, 73, 78, 81, 86, 92, 73, 78, 82, 86, 88, 73, 78, 82, 85, 90, 92, 73, 75, 78, 83, 89, 92, 97, 99, 14, 20, 24, 27, 29, 32, 37, 38, 41, 42, 44, 46, 67, 91, 96, 99, 5, 7, 10, 15, 18, 42, 46, 50, 53, 57, 19, 24, 27, 31, 33, 38, 43, 48, 67, 73, 78, 84, 89, 92, 96, 100]","[6, 1, 4, 1, 3, 1, 6, 2, 1, 5, 3, 5, 4, 1, 3, 2, 4, 5, 4, 4, 5, 4, 5, 5, 3, 1, 6, 5, 6, 5, 4, 6, 5, 3, 5, 6, 1, 5, 4, 4, 2, 5, 5, 4, 3, 5, 2, 1, 2, 3, 5, 6, 3, 5, 2, 5, 6, 4, 3, 2, 3, 5, 1, 3, 1, 2, 2, 5, 4, 5, 3, 6, 2, 3, 5, 3, 3, 4, 4, 3, 4, 5, 5, 3, 4, 2, 5, 5, 5, 3, 6, 5, 6, 5, 3, 4, 4]",S-87 L-51 S-93 S-93 S-93 L-4 L-51 L-71 L-21 S-62 L-51 
27,"[0, 14, 20, 25, 27, 32, 36, 41, 47, 49, 34, 36, 41, 46, 49, 34, 38, 42, 46, 50, 52, 57, 60, 66, 69, 73, 77, 100]","[4, 6, 5, 2, 5, 4, 5, 6, 2, 5, 2, 5, 5, 3, 5, 4, 4, 4, 4, 2, 5, 3, 6, 3, 4, 4, 3]",L-4 S-54 S-54 L-80 
73,"[0, 38, 42, 43, 44, 45, 46, 48, 50, 55, 59, 65, 68, 70, 74, 77, 81, 82, 88, 92, 75, 81, 85, 91, 75, 77, 81, 82, 24, 26, 30, 32, 38, 39, 43, 44, 46, 48, 53, 57, 61, 60, 60, 66, 68, 91, 92, 97, 79, 82, 24, 27, 32, 37, 41, 45, 67, 91, 92, 73, 75, 76, 82, 85, 89, 94, 79, 84, 86, 90, 92, 75, 76, 100]","[1, 4, 1, 1, 1, 1, 2, 2, 5, 4, 6, 3, 2, 4, 3, 4, 1, 6, 4, 3, 6, 4, 6, 4, 2, 4, 1, 5, 2, 4, 2, 6, 1, 4, 1, 2, 2, 5, 4, 4, 3, 4, 6, 2, 3, 1, 5, 1, 3, 5, 3, 5, 5, 4, 4, 6, 4, 1, 1, 2, 1, 6, 3, 4, 5, 4, 5, 2, 4, 2, 3, 1, 4]",L-1 S-95 S-95 S-87 S-64 S-64 L-71 S-98 S-87 L-51 L-71 S-93 S-98 S-95 L-80 
55,"[0, 14, 20, 25, 26, 27, 84, 90, 75, 78, 82, 86, 89, 94, 97, 79, 81, 24, 25, 27, 32, 33, 36, 40, 41, 46, 67, 68, 74, 75, 78, 84, 86, 88, 91, 92, 97, 2, 7, 8, 12, 13, 16, 19, 22, 84, 86, 88, 73, 77, 79, 85, 91, 94, 79, 100]","[4, 6, 5, 1, 1, 1, 6, 5, 3, 4, 4, 3, 5, 3, 1, 2, 6, 1, 2, 5, 1, 3, 4, 1, 5, 5, 1, 6, 1, 3, 6, 2, 2, 3, 1, 5, 5, 5, 1, 4, 1, 3, 3, 3, 6, 2, 2, 5, 4, 2, 6, 6, 3, 4, 1]",L-4 L-28 S-95 S-98 S-87 L-51 L-28 S-93 S-98 L-80 
18,"[0, 38, 43, 44, 49, 55, 56, 59, 60, 66, 70, 74, 78, 82, 84, 88, 94, 75, 100]","[1, 5, 1, 5, 6, 1, 3, 1, 6, 4, 4, 4, 4, 2, 4, 6, 1, 5]",L-1 S-95 L-80 
42,"[0, 5, 11, 16, 20, 24, 30, 36, 37, 42, 44, 46, 67, 91, 96, 97, 2, 14, 19, 20, 42, 45, 49, 34, 35, 39, 45, 49, 34, 39, 44, 46, 52, 55, 56, 60, 61, 63, 67, 72, 75, 78, 100]","[5, 6, 5, 4, 4, 6, 6, 1, 5, 2, 2, 5, 4, 5, 1, 5, 2, 5, 1, 1, 3, 4, 5, 1, 4, 6, 4, 5, 5, 5, 2, 6, 3, 1, 4, 1, 2, 4, 5, 3, 3, 2]",L-51 L-71 L-4 L-21 S-54 S-54 L-80 
93,"[0, 14, 19, 20, 24, 29, 34, 35, 36, 37, 38, 43, 44, 45, 67, 68, 73, 78, 81, 86, 91, 96, 79, 84, 24, 84, 24, 25, 29, 33, 39, 44, 46, 52, 53, 57, 60, 60, 63, 65, 70, 75, 77, 81, 82, 84, 24, 84, 85, 90, 91, 75, 77, 79, 83, 85, 86, 92, 73, 75, 78, 81, 83, 86, 91, 96, 97, 99, 3, 7, 13, 19, 22, 27, 31, 34, 35, 38, 42, 47, 48, 49, 53, 57, 60, 66, 67, 68, 69, 72, 75, 78, 79, 100]","[4, 5, 1, 4, 5, 5, 1, 1, 1, 1, 5, 1, 1, 6, 1, 5, 5, 3, 5, 5, 5, 2, 5, 3, 4, 3, 1, 4, 4, 6, 5, 2, 6, 1, 4, 3, 4, 3, 2, 5, 5, 2, 4, 1, 2, 3, 4, 1, 5, 1, 4, 2, 2, 4, 2, 1, 6, 1, 2, 3, 3, 2, 3, 5, 5, 1, 2, 4, 4, 6, 6, 3, 5, 4, 3, 1, 3, 4, 5, 1, 1, 4, 4, 3, 6, 1, 1, 1, 3, 3, 3, 1, 1]",L-4 L-51 S-98 S-87 L-28 S-87 S-64 S-87 L-28 S-95 S-93 L-80 
55,"[0, 14, 7, 31, 33, 35, 38, 41, 46, 48, 52, 56, 58, 19, 22, 23, 84, 85, 89, 90, 91, 92, 73, 78, 82, 88, 94, 75, 78, 83, 85, 86, 90, 91, 96, 97, 3, 6, 12, 13, 14, 20, 26, 27, 30, 32, 34, 40, 43, 47, 49, 50, 67, 73, 76, 100]","[4, 3, 2, 2, 2, 3, 3, 5, 2, 4, 4, 2, 4, 3, 1, 5, 1, 4, 1, 1, 1, 1, 5, 4, 6, 6, 1, 3, 5, 2, 1, 4, 1, 5, 1, 6, 3, 6, 1, 1, 6, 6, 1, 3, 2, 2, 6, 3, 4, 2, 1, 1, 6, 3, 4]",L-4 S-17 L-9 S-62 L-28 S-93 S-95 L-51 L-80 
76,"[0, 3, 8, 31, 37, 43, 48, 49, 52, 53, 34, 35, 36, 41, 47, 49, 34, 37, 42, 43, 48, 49, 55, 57, 19, 22, 23, 24, 27, 33, 34, 36, 37, 42, 47, 53, 57, 59, 61, 60, 65, 67, 68, 70, 91, 96, 2, 3, 7, 8, 13, 7, 12, 18, 19, 42, 47, 52, 57, 59, 63, 69, 75, 77, 83, 86, 24, 29, 35, 40, 42, 47, 67, 73, 74, 77, 100]","[3, 5, 1, 6, 6, 5, 1, 3, 1, 1, 1, 1, 5, 6, 2, 5, 3, 5, 1, 5, 1, 6, 2, 5, 3, 1, 1, 3, 6, 1, 2, 1, 5, 5, 6, 4, 2, 2, 3, 5, 2, 1, 2, 1, 5, 6, 1, 4, 1, 5, 4, 5, 6, 1, 2, 5, 5, 5, 2, 4, 6, 6, 2, 6, 3, 1, 5, 6, 5, 2, 5, 4, 6, 1, 3, 3]",L-9 S-54 S-54 S-62 S-64 L-71 S-17 L-21 S-87 L-51 L-80 
197,"[0, 14, 7, 10, 13, 16, 42, 45, 50, 67, 69, 72, 75, 81, 24, 27, 29, 33, 39, 43, 48, 34, 36, 41, 45, 50, 55, 61, 66, 91, 73, 79, 83, 88, 89, 90, 92, 96, 99, 2, 6, 31, 33, 39, 41, 47, 53, 34, 35, 39, 45, 50, 55, 58, 19, 25, 84, 86, 89, 92, 79, 82, 85, 24, 29, 31, 35, 36, 42, 47, 48, 34, 40, 44, 49, 53, 55, 57, 59, 60, 19, 20, 24, 25, 27, 30, 36, 39, 43, 48, 34, 40, 41, 43, 44, 46, 50, 56, 58, 60, 61, 67, 72, 78, 82, 24, 27, 31, 35, 37, 42, 46, 48, 50, 55, 61, 67, 91, 92, 94, 79, 84, 85, 89, 75, 76, 77, 78, 82, 84, 85, 91, 92, 97, 38, 40, 41, 43, 49, 50, 52, 58, 60, 19, 20, 26, 29, 35, 37, 41, 46, 50, 55, 57, 58, 19, 24, 26, 30, 33, 34, 38, 42, 44, 50, 34, 35, 39, 45, 48, 34, 39, 45, 49, 52, 53, 56, 60, 19, 22, 26, 31, 37, 43, 45, 46, 48, 53, 55, 60, 60, 61, 66, 70, 91, 96, 79, 100]","[4, 3, 3, 3, 3, 5, 3, 5, 1, 2, 3, 3, 6, 6, 3, 2, 4, 6, 4, 5, 6, 2, 5, 4, 5, 5, 6, 5, 5, 2, 6, 4, 5, 1, 1, 2, 4, 3, 3, 4, 3, 2, 6, 2, 6, 6, 1, 1, 4, 6, 5, 5, 3, 4, 6, 3, 2, 3, 3, 6, 3, 3, 2, 5, 2, 4, 1, 6, 5, 1, 6, 6, 4, 5, 4, 2, 2, 2, 1, 2, 1, 4, 1, 2, 3, 6, 3, 4, 5, 6, 6, 1, 2, 1, 2, 4, 6, 2, 2, 1, 6, 5, 6, 4, 5, 3, 4, 4, 2, 5, 4, 2, 2, 5, 6, 6, 4, 1, 2, 4, 5, 1, 4, 6, 1, 1, 1, 4, 2, 1, 6, 1, 5, 4, 2, 1, 2, 6, 1, 2, 6, 6, 2, 1, 6, 3, 6, 2, 4, 5, 4, 5, 2, 1, 4, 5, 2, 4, 3, 1, 4, 4, 2, 6, 4, 1, 4, 6, 3, 6, 5, 6, 4, 3, 1, 3, 4, 2, 3, 4, 5, 6, 6, 2, 1, 2, 5, 2, 5, 4, 1, 5, 4, 1, 5, 2, 1]",L-4 S-17 L-21 L-51 S-87 S-54 L-71 S-93 L-9 S-54 S-62 L-28 S-98 S-87 S-54 S-62 S-54 S-87 L-71 S-98 S-95 L-1 S-64 S-62 S-62 S-54 S-54 S-62 S-64 L-71 S-98 L-80 
24,"[0, 5, 6, 12, 13, 7, 11, 7, 10, 15, 18, 19, 22, 26, 31, 33, 36, 40, 46, 50, 67, 68, 73, 74, 100]","[5, 1, 6, 1, 4, 4, 6, 3, 5, 3, 1, 3, 4, 5, 2, 3, 4, 6, 4, 1, 1, 5, 1, 6]",S-17 S-17 L-51 L-80 
33,"[0, 3, 5, 10, 13, 15, 20, 26, 27, 32, 33, 35, 40, 46, 49, 34, 36, 39, 43, 49, 55, 56, 57, 60, 65, 69, 70, 74, 76, 78, 84, 89, 94, 100]","[3, 2, 5, 3, 2, 5, 6, 1, 5, 1, 2, 5, 6, 3, 5, 2, 3, 4, 6, 6, 1, 1, 3, 5, 4, 1, 4, 2, 2, 6, 5, 5, 6]",S-54 
42,"[0, 38, 43, 48, 50, 53, 59, 19, 23, 84, 88, 90, 96, 38, 39, 44, 45, 47, 49, 67, 68, 69, 75, 78, 81, 84, 88, 73, 79, 83, 89, 75, 81, 83, 84, 86, 90, 75, 81, 86, 90, 75, 100]","[1, 5, 5, 2, 3, 6, 3, 4, 5, 4, 2, 6, 5, 1, 5, 1, 2, 2, 2, 1, 1, 6, 3, 3, 3, 4, 5, 6, 4, 6, 6, 6, 2, 1, 2, 4, 5, 6, 5, 4, 5, 5]",L-1 S-62 L-28 L-1 L-51 S-93 S-95 S-95 S-95 L-80 
42,"[0, 14, 19, 42, 45, 47, 49, 55, 61, 67, 73, 78, 81, 84, 86, 89, 91, 73, 76, 82, 84, 86, 89, 94, 79, 83, 89, 75, 76, 81, 84, 24, 30, 32, 36, 41, 43, 44, 46, 67, 72, 77, 100]","[4, 5, 2, 3, 2, 2, 6, 6, 6, 6, 5, 3, 3, 2, 3, 2, 2, 3, 6, 2, 2, 3, 5, 4, 4, 6, 6, 1, 5, 3, 3, 6, 2, 4, 5, 2, 1, 2, 5, 5, 5, 3]",L-4 L-21 S-93 S-98 S-95 S-87 L-51 L-80 
87,"[0, 3, 6, 7, 12, 13, 14, 15, 7, 10, 13, 16, 19, 42, 43, 45, 48, 34, 35, 38, 43, 44, 49, 52, 58, 60, 60, 66, 91, 96, 38, 43, 47, 52, 57, 58, 61, 67, 69, 74, 78, 79, 85, 90, 73, 79, 84, 85, 86, 24, 26, 30, 31, 35, 37, 39, 44, 50, 56, 61, 19, 24, 84, 90, 73, 75, 77, 82, 88, 73, 76, 81, 83, 88, 92, 79, 84, 89, 92, 75, 76, 82, 24, 84, 89, 91, 94, 100]","[3, 3, 1, 5, 1, 1, 1, 2, 3, 3, 3, 3, 2, 1, 2, 3, 6, 1, 3, 5, 1, 5, 3, 6, 2, 4, 6, 5, 5, 5, 5, 4, 5, 5, 1, 3, 6, 2, 5, 4, 1, 6, 5, 3, 6, 5, 1, 1, 1, 2, 4, 1, 4, 2, 2, 5, 6, 6, 5, 1, 5, 4, 6, 3, 2, 2, 5, 6, 5, 3, 5, 2, 5, 4, 6, 5, 5, 3, 3, 1, 6, 5, 4, 5, 2, 3, 6]",S-17 L-21 S-54 S-64 L-71 L-1 S-93 S-87 S-62 L-28 S-93 S-93 S-98 S-95 S-87 L-28 
19,"[0, 2, 14, 18, 22, 27, 30, 32, 36, 39, 45, 67, 69, 72, 78, 84, 90, 73, 76, 100]","[2, 2, 4, 4, 5, 3, 2, 4, 3, 6, 6, 2, 3, 6, 6, 6, 3, 3, 4]",L-4 L-51 S-93 L-80 
134,"[0, 38, 43, 48, 52, 58, 60, 19, 25, 31, 32, 38, 42, 47, 67, 91, 73, 74, 79, 84, 24, 25, 26, 29, 32, 37, 41, 45, 67, 91, 96, 2, 14, 19, 20, 22, 84, 86, 89, 90, 75, 78, 83, 88, 89, 91, 75, 76, 82, 84, 89, 73, 75, 79, 81, 83, 86, 91, 92, 97, 38, 40, 45, 46, 67, 72, 74, 77, 83, 84, 90, 75, 81, 24, 30, 31, 36, 39, 41, 44, 48, 52, 34, 36, 37, 42, 45, 50, 55, 56, 19, 25, 30, 34, 37, 41, 42, 44, 48, 52, 57, 58, 60, 60, 61, 63, 65, 69, 74, 79, 82, 83, 88, 94, 79, 84, 89, 75, 77, 82, 88, 92, 94, 96, 97, 38, 42, 48, 67, 68, 69, 70, 75, 79, 100]","[1, 5, 5, 4, 6, 6, 2, 6, 6, 1, 6, 4, 5, 4, 4, 2, 1, 5, 5, 3, 1, 1, 3, 3, 5, 4, 4, 6, 4, 5, 6, 2, 5, 1, 2, 6, 2, 3, 1, 5, 3, 5, 5, 1, 2, 4, 1, 6, 2, 5, 4, 2, 4, 2, 2, 3, 5, 1, 5, 4, 2, 5, 1, 5, 5, 2, 3, 6, 1, 6, 5, 6, 6, 6, 1, 5, 3, 2, 3, 4, 4, 2, 2, 1, 5, 3, 5, 5, 1, 6, 6, 5, 4, 3, 4, 1, 2, 4, 4, 5, 1, 2, 4, 1, 2, 2, 4, 5, 5, 3, 1, 5, 6, 4, 5, 5, 6, 2, 5, 6, 4, 2, 2, 1, 4, 4, 6, 3, 1, 1, 1, 5, 4, 1]",L-1 S-64 S-62 L-51 L-71 S-93 S-87 L-51 L-71 L-4 L-28 S-95 S-95 S-93 L-1 L-51 S-95 S-87 S-54 S-62 S-64 S-98 S-95 L-1 L-51 L-80 
48,"[0, 3, 14, 20, 26, 31, 35, 40, 46, 52, 57, 58, 63, 60, 63, 67, 91, 75, 78, 81, 84, 90, 92, 96, 97, 3, 8, 10, 15, 7, 13, 19, 42, 46, 52, 57, 58, 60, 61, 66, 72, 77, 81, 82, 88, 89, 92, 97, 100]","[3, 1, 6, 6, 5, 4, 5, 6, 6, 5, 1, 5, 1, 3, 4, 4, 4, 3, 3, 3, 6, 2, 4, 1, 6, 5, 2, 5, 2, 6, 6, 2, 4, 6, 5, 1, 2, 1, 5, 6, 5, 4, 1, 6, 1, 3, 5, 3]",L-4 S-64 L-71 S-95 S-17 L-21 
43,"[0, 3, 8, 13, 7, 13, 14, 19, 24, 25, 31, 33, 36, 42, 47, 50, 53, 56, 19, 24, 29, 34, 40, 46, 48, 49, 52, 56, 58, 63, 66, 69, 74, 76, 82, 24, 26, 84, 85, 86, 91, 73, 79, 100]","[3, 5, 5, 4, 6, 1, 5, 5, 1, 6, 2, 3, 6, 5, 3, 3, 3, 6, 5, 5, 5, 6, 6, 2, 1, 3, 4, 2, 5, 3, 3, 5, 2, 6, 5, 2, 2, 1, 1, 5, 2, 6, 1]",S-17 S-62 S-87 L-28 S-93 L-80 
25,"[0, 38, 41, 47, 48, 34, 35, 36, 42, 44, 45, 48, 50, 34, 40, 44, 49, 53, 59, 60, 65, 66, 67, 70, 74, 100]","[1, 3, 6, 1, 6, 1, 1, 6, 2, 1, 3, 2, 4, 6, 4, 5, 4, 6, 5, 5, 1, 1, 3, 4, 6]",L-1 S-54 S-54 S-64 L-80 
53,"[0, 14, 19, 25, 30, 33, 36, 42, 47, 49, 52, 55, 60, 63, 68, 91, 96, 79, 83, 89, 90, 91, 96, 38, 40, 41, 44, 47, 52, 55, 61, 65, 91, 97, 2, 14, 19, 22, 27, 30, 32, 37, 43, 44, 50, 56, 57, 59, 61, 67, 91, 73, 76, 100]","[4, 5, 6, 5, 3, 3, 6, 5, 2, 3, 3, 5, 3, 5, 3, 5, 2, 4, 6, 1, 1, 5, 5, 2, 1, 3, 3, 5, 3, 6, 4, 6, 6, 5, 2, 5, 3, 5, 3, 2, 5, 6, 1, 6, 6, 1, 2, 2, 6, 4, 2, 3, 4]",L-4 L-71 S-98 L-1 L-71 L-4 L-71 S-93 L-80 
56,"[0, 5, 8, 12, 15, 18, 42, 43, 46, 52, 58, 59, 61, 67, 68, 74, 78, 81, 85, 90, 73, 75, 76, 82, 24, 29, 34, 38, 39, 42, 46, 47, 52, 57, 61, 19, 20, 24, 27, 29, 33, 34, 37, 40, 41, 42, 46, 48, 49, 55, 59, 60, 65, 67, 72, 74, 100]","[5, 3, 4, 3, 3, 3, 1, 3, 6, 6, 1, 2, 6, 1, 6, 4, 3, 4, 5, 3, 2, 1, 6, 5, 5, 5, 4, 1, 3, 4, 1, 5, 5, 4, 1, 1, 4, 3, 2, 4, 1, 3, 3, 1, 1, 4, 2, 1, 6, 4, 1, 5, 2, 5, 2, 6]",L-21 S-93 S-87 S-62 L-80 
75,"[0, 6, 7, 12, 15, 16, 20, 24, 25, 31, 34, 40, 46, 49, 50, 67, 73, 75, 76, 79, 81, 85, 89, 91, 92, 75, 78, 84, 88, 92, 94, 75, 78, 83, 86, 91, 96, 2, 6, 11, 13, 19, 22, 26, 30, 32, 34, 39, 45, 49, 34, 35, 39, 45, 50, 52, 55, 56, 59, 19, 25, 84, 85, 24, 84, 89, 73, 76, 81, 82, 84, 86, 90, 73, 79, 100]","[6, 1, 5, 3, 1, 4, 4, 1, 6, 3, 6, 6, 3, 1, 1, 6, 2, 1, 3, 2, 4, 4, 2, 1, 3, 3, 6, 4, 4, 2, 1, 3, 5, 3, 5, 5, 6, 4, 5, 2, 6, 3, 4, 4, 2, 2, 5, 6, 4, 5, 1, 4, 6, 5, 2, 3, 1, 3, 3, 6, 3, 1, 2, 4, 5, 4, 3, 5, 1, 2, 2, 4, 3, 6, 1]",L-51 S-95 S-95 S-54 S-62 L-28 S-87 L-28 S-93 S-93 L-80 
53,"[0, 3, 31, 33, 37, 40, 45, 48, 53, 57, 63, 65, 69, 70, 72, 74, 78, 79, 84, 86, 88, 73, 79, 81, 84, 88, 91, 96, 97, 79, 83, 84, 90, 73, 74, 77, 79, 84, 90, 92, 97, 79, 84, 88, 73, 75, 76, 78, 79, 82, 88, 92, 75, 100]","[3, 6, 2, 4, 3, 5, 3, 5, 4, 6, 2, 4, 1, 2, 2, 4, 1, 5, 2, 2, 5, 6, 2, 3, 4, 3, 5, 1, 1, 4, 1, 6, 3, 1, 3, 2, 5, 6, 2, 5, 1, 5, 4, 5, 2, 1, 2, 1, 3, 6, 4, 3, 5]",L-9 S-93 S-98 S-93 S-98 S-93 S-95 L-80 
47,"[0, 2, 14, 19, 23, 24, 30, 33, 38, 40, 44, 50, 34, 35, 41, 42, 44, 47, 49, 52, 34, 38, 42, 46, 52, 58, 19, 25, 29, 34, 35, 39, 41, 44, 46, 49, 50, 52, 57, 60, 63, 65, 67, 73, 75, 78, 79, 100]","[2, 2, 5, 4, 1, 6, 3, 5, 2, 4, 6, 4, 1, 6, 1, 2, 3, 2, 3, 2, 4, 4, 4, 6, 6, 4, 6, 4, 5, 1, 4, 2, 3, 2, 3, 1, 2, 5, 3, 3, 2, 2, 6, 2, 3, 1, 1]",L-4 S-54 S-54 S-62 L-80 
